ID	대분류	한국어명	영문명	기준/정의	사용하면 좋은 상황	영상 삽입 지시문(영문)	한국어 워딩 예(실증 스타일)	추천 조합	피해야 할 조합	효과	왜곡/실패 리스크	AI 신뢰도	유사어/메모
M01	카메라 무브	고정	Static / Locked-off	카메라 무브 0	원본 유지형(3.0 탭), 대사 씬, 안정 구도	static locked-off camera, no camera movement, stabilized framing	카메라는 고정되어 있다	NEG10 + 미세 모션(호흡·깜빡임)	무브 지시어 동시 사용	안정, 집중	정지화처럼 보일 수 있음 → 마이크로 모션 필수	✅	locked camera. 3.0 원본 유지 모드의 기본값(실증)
M02	카메라 무브	팬	Pan Left/Right	수평 회전	공간 훑기, 인물 A→B 시선 이동	slow pan left(/right) across the scene	카메라가 천천히 왼쪽으로 팬	와이드(S02~S03)	다른 무브와 결합	공간 연속 제시	빠르면 배경 뭉개짐	✅	swish 아닌 일반 팬. slow+방향 명시
M03	카메라 무브	틸트	Tilt Up/Down	수직 회전	리빌(발끝→얼굴), 규모 강조	slow tilt up(/down) with smooth easing	검정 구두부터 위로 틸트업하며 이징 가속	S04(풀샷) + 리빌 연출	줌과 동시	공개·과시	빠르면 워핑	✅	실증✅ 케이스1(구두→상체 틸트업+easing). easing 워딩 통함
M04	카메라 무브	달리 인/푸시 인	Dolly In / Push-in	피사체로 전진	감정 고조, 결심, 압박	slow dolly in, camera slowly pushes in over 5 seconds	카메라는 악수 순간 살짝 푸시인	S07~S09 + 감정 클로즈업	줌과 혼동·오빗 결합	몰입 고조	깊이 레이어 없으면 줌으로 퇴화	✅	실증✅ 케이스2·서재. push in = 시간 명시 권장
M05	카메라 무브	달리 아웃/풀백	Dolly Out / Pull-back	피사체에서 후퇴	상황 공개, 고립감, 엔딩	slow dolly out revealing the surroundings	카메라가 풀백하며 전신을 미디엄 롱샷으로	와이드 엔딩 + 리빌	타 무브 결합	맥락 공개·여운	신규 생성 배경 어색 가능	✅	실증✅ 케이스1·피가로(풀백 상승 엔딩)
M06	카메라 무브	트럭/크랩	Truck Left/Right	좌우 평행 이동	나란히 걷기, 진열 훑기	camera trucks left(/right) alongside the subject	카메라가 인물 옆을 따라 수평 이동	M09(트래킹)와 통합 운용	팬과 동시	동행감	배경 워핑	✅	lateral move. 실증: fast lateral pass(케이스1 영문판)
M07	카메라 무브	페데스탈/상승하강	Pedestal / Rise	카메라 수직 이동	규모, 신성, 드론 진입부	camera rises vertically(/descends) smoothly	카메라가 천천히 위로 상승하며 거리 전체를 부감으로	M19(드론)와 연속 설계	줌 결합	규모 전환	고도 변화 중 지오메트리 흔들림	✅	실증✅ 피가로(드론 풀백 상승)
M08	카메라 무브	크레인/지브	Crane Up/Down	호 그리며 상승하강	오프닝·엔딩 장대한 전환	crane up from low over the subject, ascending high	크레인이 낮은 곳에서 인물 위로 상승	S02(EWS) 엔딩	빠른 속도	장엄	궤적 복잡하면 왜곡	✅	Veo 공식 예시 패턴(crane shot starting low and ascending)
M09	카메라 무브	트래킹/팔로우	Tracking / Follow Shot	이동 피사체 추적	보행·주행 동행 씬	smooth tracking shot following the subject	트래킹 미디엄 샷으로 경쾌한 스텝을 따라간다	S05~S06 + 보행 액션	복잡 배경 고속 추적	동행 몰입	빠른 피사체는 모션 붕괴(미해결 §)	✅	실증✅ 피가로(트래킹 미디엄 샷)
M10	카메라 무브	팔로우 비하인드	Follow-behind / Third-person	등 뒤 3인칭 추적	게임 시점, 여정	third-person follow-behind camera	카메라가 드론처럼 3인칭 시점으로 부드럽게 따라간다	V01·V07과 친족	정면 표정 요구 씬	여정·진행	얼굴 미노출	✅	실증✅ 피가로("드론처럼 3인칭 시점으로 따라가며")
M11	카메라 무브	오빗/아크	Orbit / Arc Shot	피사체 중심 원호	인물 강조, 제품 360	slow orbit clockwise around the subject, about 30 degrees over 5 seconds	카메라가 인물을 중심으로 천천히 호를 그린다	S04~S06 단일 피사체	30°/5초 초과·줌 결합	입체 과시	초과 시 워핑(Kling 실측 한계)	✅(제한 준수 시)	arc shot. ⚠️ Kling: ≤30°/5s 룰
M12	카메라 무브	줌 인/아웃	Zoom In/Out	화각 변화(광학)	정보 강조, 레트로 룩	slow zoom in on the subject's face	피사체 얼굴로 천천히 줌인	70년대 룩(STYLE07)	달리와 혼용 표기	주목	달리와 혼동돼 어색	✅	dolly가 아닌 화각 변화임을 인지하고 사용
M13	카메라 무브	달리 줌	Dolly Zoom (Vertigo)	전진+줌아웃 동시	충격·현기증·각성 순간	dolly zoom vertigo effect, background warping away while subject stays	배경이 멀어지는 현기증 효과(달리 줌)	S07(MCU) 고정 피사체	일반 씬 남용	불안 충격	실패율 높은 편 — 리롤 감안	🟡	hitchcock zoom. 1샷 전체를 이 효과에 할애
M14	카메라 무브	크래시 줌	Crash Zoom	급격 줌 인	코믹 강조, 충격 리액션	sudden crash zoom into the face	얼굴로 순간 크래시 줌	코믹·밈 톤	정적 무드	펀치 강조	블러·왜곡 동반	✅	실증: brief crash push(케이스1 영문판)
M15	카메라 무브	휩 팬	Whip Pan	고속 팬 전환	씬 전환, 에너지	fast whip pan to the next subject	옆 인물로 휙 도는 휩 팬	멀티샷 전환부	저속 무드	속도감 전환	중간 프레임 뭉개짐(의도됨)	✅	transition용. 샷 경계에서만
M16	카메라 무브	핸드헬드	Handheld	미세 흔들림	다큐, 긴장, 현장감	handheld camera with subtle natural shake	핸드헬드의 미세한 흔들림	STYLE08·09 + V11	NEG10(안정화)와 모순	현장감	과하면 멀미	✅	shaky 정도 부사로 제어(subtle/moderate)
M17	카메라 무브	스테디캠	Steadicam / Gimbal	부드러운 이동	긴 동선 따라가기, 원테이크 느낌	smooth steadicam glide through the scene	스테디캠처럼 부드럽게 공간을 가로지른다	복도·군중 통과	빠른 방향 전환	유려함	긴 동선은 배경 일관성 리스크	✅	oner/long take 워딩과 병용 가능
M18	카메라 무브	FPV 드론	FPV Drone	1인칭 고속 비행	박진감, 공간 관통	FPV drone shot flying through the scene	FPV 드론이 좁은 틈을 통과하며 비행	V07 + 와이드 환경	인물 표정 씬	박진감	고속 구간 지오메트리 붕괴	✅	전 모델 강한 프리셋(Higgsfield 등 상품화)
M19	카메라 무브	에어리얼/드론 부감	Aerial Drone Shot	고도 부감 비행	스케일, 오프닝, 위치 설명	aerial drone view slowly moving over the scene	드론뷰 화각으로 위에서 내려다보며	S01~S02 + H04	실내 좁은 공간	스케일 장악	피사체 식별 저하	✅	실증✅ 로봇 케이스("드론뷰 화각으로") + 피가로(하이앵글 하강)
M20	카메라 무브	랙 포커스	Rack Focus	초점 이동	전경↔후경 주의 전환	rack focus from foreground to the subject behind	전경에서 인물로 초점이 옮겨간다	L12(85mm)·얕은 심도	딥 포커스 씬	시선 유도	초점면 표현 실패 가능	✅	focus pull. 두 피사체 깊이차 명시
M21	카메라 무브	타임랩스/하이퍼랩스	Timelapse / Hyperlapse	시간 압축	도시 흐름, 시간 경과	hyperlapse through the city as time accelerates	도시가 타임랩스로 흘러간다	와이드 환경	인물 감정 씬	시간 압축	피사체 모핑	✅	timelapse=고정, hyperlapse=이동 구분
M22	카메라 무브	슬로 모션	Slow Motion	시간 확장	임팩트 순간, 물·머리칼	slow motion capturing the moment in fine detail	그 순간이 슬로모션으로 펼쳐진다	물·파편·천 디테일	대사 씬(싱크 붕괴)	극적 순간 확대	대사와 충돌	✅	고속 동작 대안으로도 활용(미해결 §의 완화책)
M23	카메라 무브	불릿 타임	Bullet Time	피사체 정지+카메라 회전	매트릭스 패러디, 임팩트	bullet time effect, frozen action while camera orbits	동작이 멈춘 채 카메라만 회전한다	M11 제한 준수	일반 씬	강한 양식미	실패율 높음	🟡	1샷 전체 할애 + 리롤 감안
M24	카메라 무브	스노리캠	Snorricam	인물 고정+배경 요동	취중·혼란·패닉 1인칭 반전	snorricam locked on the subject, background swirling around	인물은 고정된 채 배경이 흔들린다	혼란 감정 씬	안정 무드	주관적 혼란	니치 용어 — 설명 병기 필요	🟡	body-mounted camera 설명 덧붙이기
