ID	대분류	한국어명	영문명	기준/정의	영상 삽입 지시문(영문)	한국어 워딩 예	효과	리스크/한계	AI 신뢰도	유사어/메모
AN-01	애니 연기	예비동작	Anticipation	본동작 직전 반대방향 준비	he crouches low and winds up for a beat, then explodes into a jump	점프 전에 한 박자 웅크렸다가 폭발	동작 가독성·코믹 박자	용어가 아니라 시퀀스로 풀어 쓸 것	🟡	12원칙. "exact play-by-play" 묘사가 공식 권장
AN-02	애니 연기	팔로우스루/오버랩	Follow-through / Overlapping	본체 정지 후 부속물이 늦게 따라옴	she stops abruptly; her coat and hair continue to swing forward before settling	급정지 후 코트·머리가 한 박자 늦게 출렁	생동감	—	🟡	천·머리칼 미세모션과 결합
AN-03	애니 연기	마이크로모션 리스트	Secondary Action	주연기 밑 미세 동작층 — AI 인형티 제거	breathing, blinking, subtle hand movements, fabric sway, hair moving in the wind	호흡·눈깜빡임·옷자락 흔들림 한 줄	리얼리즘 부스터	과적 금지(1줄)	✅	**모든 인물 샷 기본 탑재** — 전기톱 실증과 동계열
AN-04	애니 연기	이즈 인/아웃	Slow In / Out	가감속 곡선 — 속도 단어 명시	movement starts slow, accelerates, then eases to a gentle stop	천천히 시작→가속→사뿐히 멈춤	자연스러운 물리	속도 미명시 = 균일속 어색	🟡	easing(케이스1 실증 워딩)과 동계열
AN-05	애니 연기	스쿼시&스트레치	Squash & Stretch	충격 압축·이동 신장	exaggerated squash and stretch: body compresses on landing then springs back, cartoon animation style	착지 때 납작 눌렸다 튕겨 오름	카툰 탄성	⚪실험 — 스타일 앵커 필수	⚪	피가로 샷3 "bouncy squash-and-stretch" 사용 중 — 검증 누적
AN-06	애니 연기	과장	Exaggeration	동작·표정 증폭	exaggerated expressions, exaggerated motion	표정·동작 한껏 과장	풍자 톤 코어	실사 톤과 충돌	✅	네거티브 표준에 "no exaggerated motion" 존재 = 모델이 아는 토큰
AN-07	애니 연기	홀드/포즈 박자	Hold / Beat	동작 사이 정지 박자(코미디 타이밍)	a long pause before speaking; holds the pose for a beat	말하기 전 긴 멈춤, 한 박자 정지	코미디 타이밍	—	🟡	AU-06(음악 급정지)과 세트 시너지
AN-08	애니 연기	카툰 물리	Cartoon Physics / Hang Time	비현실 물리(공중정지 후 추락)	3D cartoon animation, exaggerated slapstick physics: he runs off the edge and hangs suspended midair for a beat, looks at the camera, then plummets	허공에 떠서 카메라 보고 나서 추락	슬랩스틱	⚪실험 1순위 — 사실주의 모델은 실물리로 끌려감 → **문두 스타일 앵커 필수**	⚪	실증 미발견·풍자 3D 잠재가치 최대
AN-09	애니 연기	스미어 잔상	Smear Frame (대체)	고속 동작 형태 뭉갬	stylized motion blur, elongated limbs during the fast swing, 1940s cartoon style	휘두를 때 팔이 길게 늘어지는 잔상	레트로 카툰 속도감	⚪직접 지시 근거 없음 — 대체 표현	⚪	STYLE08(러버호스)과 조합
AN-10	애니 연기	마이크로 표정	Micro-expression Block	무표정 인형 얼굴 제거 — 속내 새는 얼굴	subtle facial expressions showing internal conflict; eyes squint thoughtfully, head tilts, slight furrow of the brow	실눈·고개 갸웃·미간 — 속내가 새는 미세표정	풍자 인물 심리	—	✅	인물 클로즈업 기본 탑재 후보
AN-11	애니 연기	동사 연기	Action-verb Acting	감정 형용사 금지 — 동사구로	shakes his head and protests with arms open as if pleading; shifts in chair, tense	억울하다는 듯 두 팔 벌려 항변	연기 정확도	—	✅	§3-1·7(행동 동사)의 실전 문구들
AN-12	애니 연기	키네틱 동사	Kinetic Verbs	움직임 질감을 동사 선택으로	glides / drifts / swirls / rushes / lunges	미끄러지듯·표류하듯·돌진하듯	모션 질감	—	✅	walks 같은 범용 동사 대체
SH-01	그림자	단일 광원+방향 쌍	Single Source + Direction Pair	광원 위치와 그림자 방향을 쌍으로 명시	single light source from upper left, shadow cast to the lower right	좌상단 단일 광원, 그림자는 우하단	방향 모순(AI 3대 결함) 예방	—	🟡	AI는 기하가 아니라 통계로 그림자를 그림
SH-02	그림자	접지 그림자	Contact Shadow	피사체를 바닥에 붙이는 그림자	soft contact shadow grounding the subject to the floor	발밑 옅은 접지 그림자로 안착	부유감 제거	—	🟡	합성 피사체(@치환)에 특히 유효
SH-03	그림자	방향 일관성	Consistent Shadow Direction	씬 내 모든 그림자 한 키 정렬	all shadows aligned with the single key light, consistent shadow direction	모든 그림자 방향 통일	멀티샷 일관성	멀티샷이면 매 샷 복붙	🟡	NEG: no double shadows, no conflicting shadow directions
SH-04	그림자	시간대 그림자 언어	Time-of-day Shadows	시각을 그림자 길이·경도로	harsh short noon shadows / late afternoon sun casting long shadows across the room / overcast, soft shadowless light	정오 짧고 단단 / 늦오후 길게 / 흐림 무그림자	시간 연출	씬 헤딩(§3-1·1)과 일치시킬 것	✅	조명 모듈과 중복 선언 금지
SH-05	그림자	드리운 그림자(서사)	Looming Shadow	위협·권력을 그림자 크기로	his shadow looms large on the wall behind him	등 뒤 벽에 거대하게 드리운 그림자	권력 풍자 비주얼	—	🟡	윤리 카메라(권력=Low)와 조합
SH-06	그림자	커튼/유리 실루엣	Silhouette Through	직접 안 보여주고 암시	silhouette visible through the backlit curtain; two silhouettes visible inside	역광 커튼 너머 실루엣만	암시·익명·긴장	—	✅	Kling 가이드 원문. LIGHT13과 친족
SH-07	그림자	블라인드 패턴	Venetian Blind Shadows	줄무늬 그림자 = 누아르 코드	venetian blind light patterns across his face	얼굴에 블라인드 줄그림자	취조·음모 무드	—	✅	KV-09(골든아워 블라인드)의 누아르판
SH-08	그림자	오버헤드 프랙티컬	Overhead Practical Shadow	하향 단일 그림자(취조실)	single overhead practical, swing-arm lamp, casting harsh downward shadow	머리 위 전등 하나, 강한 하향 그림자	압박감	—	✅	LIGHT14와 조합
SH-09	그림자	그림자 색	Shadow Color	순흑 떡짐 방지	shadows with subtle ambient color, not pure black	그림자에 환경색 머금게	인공 티 제거	⚪역적용 추론	⚪	실험 태그
LC-01	고급 조명	조명 연속성 블록	Lighting Continuity Block	멀티샷 드리프트 방지 — 매 샷 복붙	Continuity: same character face, same outfit, same lighting, same environment	연속성: 같은 얼굴·옷·조명·환경	멀티샷 최대 약점 해결	identity lock(§5-2)과 통합 운용	✅	"often reduces drift" 명시
LC-02	고급 조명	키 방향 명세	Key Direction Spec	키/필을 카메라 기준 방향+각도로	Key: soft window light from camera-left at 3/4 angle; Fill: minimal	키=카메라 좌측 창광 3/4각, 필 최소	"dramatic" 형용사 대체	—	✅	피가로 문서의 "화면 왼쪽 창" = 이 원리
LC-03	고급 조명	팔레트 앵커	Palette Anchors	색 3~5개 명명 고정	Palette anchors: amber, cream, walnut brown	팔레트 앵커: 앰버·크림·월넛	샷 간 그레이딩 통일	—	✅	Sora 공식 쿡북 — §3-1·10과 동일 원리의 공식 문구
LC-04	고급 조명	켈빈 색온도	Kelvin Spec	숫자 색온도	warm 3200K tungsten / cool 5600K daylight	3200K 따뜻한 실내 / 5600K 주광	정밀 색온도	—	✅	샷 전환 시 5600K→5000K식 변화 지정 가능
LC-05	고급 조명	네거티브 필	Negative Fill	빛 빼기로 입체 — 치트시트 최대 공백	add negative fill on camera-right; no overhead fill; background dim by -1 stop	카메라 우측 빛 죽임, 배경 −1스톱	진짜 시네마틱 입체	—	✅	노출 단위(stop)도 모델이 받음
LC-06	고급 조명	블랙 처리	Black Treatment	그림자부 톤 지정	blacks soft, neutral with mild lift for haze retention	블랙 살짝 들어 헤이즈 보존	떡짐/들뜸 제어	—	✅	Sora 쿡북 원문
LC-07	고급 조명	노출 지시	Exposure Note	하이라이트 날아감 방지	expose for highlights; retain cloud detail	하이라이트 기준 노출	계조 보존	—	✅
LC-08	고급 조명	틸-오렌지(풀어쓰기)	Teal-Orange Grade	하이라이트 난색·섀도 한색	warm orange tones in highlights, cool teal shadows	하이라이트 주황·섀도 청록	시네마 정석 그레이드	단어보다 풀어쓰기가 안전	🟡	LIGHT17과 친족(그레이딩판)
LC-09	고급 조명	필름 그레이드 명명	Film Grade Naming	스톡·현상 룩 호출	warm Kodak-inspired grade; light halation on bulbs / 65mm photochemical contrast, fine grain	코닥풍 그레이드+전구 할레이션	고급 필름 질감	고유명은 보조(장식 경향)	✅	halation = 고급 어휘
LC-10	고급 조명	블리치 바이패스	Bleach Bypass	탈색+고대비 은빛	bleach bypass look: desaturated, high-contrast, silvery highlights	탈색 고대비 은빛 룩	냉혹·보도 톤	풀어쓰기 병기	🟡	고발·전쟁 톤
LC-11	고급 조명	데이포나잇	Day-for-Night	낮을 밤처럼	day-for-night: underexposed, deep blue-tinted moonlight look, no visible sun	청색 월광톤 언더노출	밤 씬 안정 생성	⚪실증 미발견	⚪	실험 태그
LC-12	고급 조명	대기 입자	Atmospheric Particles	빛을 보이게 하는 매질	golden hour light catching dust particles; gentle mist drifting through the light beam	빛줄기 속 먼지 입자, 옅은 헤이즈	볼류메트릭 질감	과하면 뿌염	✅	LIGHT16과 세트
LC-13	고급 조명	비+림 라이트	Backlit Rain	역광이 빗방울 잡기	backlit rain, rim light catching the droplets, reflections on wet asphalt	역광 비, 젖은 아스팔트 반사	감성·누아르	—	🟡	wet asphalt 반사는 ✅(Kling 가이드)
LC-14	고급 조명	광비	Lighting Ratio	키:필 비율 숫자	3:1 key-to-fill ratio, soft wrap	키:필 3:1	명암 정밀	—	🟡
LC-15	고급 조명	모티프 1개 원칙	One Lighting Motif	조명 지시 과적 시 준수율 급락	one lighting motif per clip	클립당 조명 컨셉 1개	준수율 유지	—	✅	§7 함정(조명 충돌)의 일반화 — 운영 규칙
LC-16	고급 조명	문두 가중	Front-loading Anchors	앞 20~30단어 권위 최고	(구조 규칙 — 스타일·조명 앵커를 문두에)	스타일·조명 앵커는 프롬프트 맨 앞	준수율↑	—	🟡	§2 front-loading과 동계열
LC-17	고급 조명	스펙큘러 제어	Specular Control	피부 번들거림 억제	specular highlights controlled	번들거림 억제	플라스틱 피부 방지	—	✅	NEG11과 세트
