ID	한국어명	Gemini 키워드	GPT 산문	분위기/용도
LGT01	따뜻한 아침광	warm soft morning light, gentle and quiet, faint melancholy	Light the scene with warm soft morning light that feels gentle, quiet, and faintly melancholic.	잔잔·여운·옅은 비애
LGT02	차가운 새벽광	cold blue pre-dawn tone, lone streetlight reflection on wet ground, desolate stillness	Use a cold blue pre-dawn tone with a lone streetlight reflection on wet ground and a desolate stillness.	황량·고독·정적
LGT03	어둑한 실내 저조도	cold blue dim interior light, heavy and suffocating, faint trembling tension	Use cold, dim interior lighting that feels heavy and suffocating with a faint trembling tension.	압박·긴장·불안
LGT04	따뜻한 데스크램프	warm soft desk-lamp light, quiet wistful tone	Light with a warm soft desk-lamp glow in a quiet, wistful tone.	사색·회한
LGT05	촛불 글로우	warm candlelight glow against soft dark background, solemn and tender	Use a warm candlelight glow against a soft dark background, solemn and tender.	추모·엄숙·따뜻
LGT06	골든아워	warm golden-hour sunlight, long soft shadows, nostalgic warmth	Bathe the scene in warm golden-hour sunlight with long soft shadows and nostalgic warmth.	회고·온기
LGT07	강한 정오 직사광	harsh overexposed midday sunlight, hard shadows, oppressive heat	Use harsh, overexposed midday sunlight with hard shadows that convey oppressive heat.	폭염·억압·노출
LGT08	흐린 날 확산광	overcast diffused daylight, flat soft shadows, muted somber mood	Use overcast diffused daylight with flat soft shadows and a muted, somber mood.	침울·무력·진지
LGT09	단일 하드 측광 (극화 합)	single hard side-light cutting across the subject, deep chiaroscuro shadows, tense atmosphere	Use a single hard side-light cutting across the subject with deep chiaroscuro shadows and a tense atmosphere.	B 극화 디폴트·긴장·명암
LGT10	역광 실루엣 (안전 시각화)	backlit silhouette with rim light, faces in shadow, no facial features visible	Backlight the figures into rim-lit silhouettes with faces in shadow and no facial features visible.	미성년 안전 시각화·익명
