ID	분류	항목	값/키워드	비고
CT-01	색온도 사전	폰빛/모니터빛	cold blue-white 6500K · 방향 아래→위/정면 · fill 없음(암흑)	언더라이팅 기괴함 소스
CT-02	색온도 사전	형광등	sickly greenish-white 4100K · 방향 위→아래 · fill 없음	병적·시스템 비판 톤
CT-03	색온도 사전	가로등(나트륨)	orange sodium 2200K · 방향 위 대각→아래 · fill 없음(주변 암흑)	밤거리 고독
CT-04	색온도 사전	직사 플래시	harsh white 5500K flat · 방향 정면 · fill 없음(배경 암흑)	폭로·즉물성
CT-05	색온도 사전	블루아워	deep navy 7500K+ · 전체 확산 · fill 자연 확산(약한 그림자)	불안한 정적
CT-06	색온도 사전	촛불/라이터	warm 1800K · 방향 아래→위 근접 · fill 없음(반경 좁음)	추모·은밀
CG-01	색보정 어휘	teal-and-orange	일반 시네마틱
CG-02	색보정 어휘	muted·desaturated	진지·사회이슈
CG-03	색보정 어휘	deep navy·blue-hour	불안한 정적
CG-04	색보정 어휘	sickly green	병적·시스템 비판
CG-05	색보정 어휘	sodium orange	밤거리 고독
CG-06	색보정 어휘	bleach bypass	탈색·고대비
CG-07	색보정 어휘	Kodak Portra	따뜻·회고
CG-08	색보정 어휘	B&W high contrast	만평·클래식 누아르
CE-01	색-감정 매핑	red	긴장/분노/피
CE-02	색-감정 매핑	green	조화 또는 병적
CE-03	색-감정 매핑	blue	고독/냉정
CE-04	색-감정 매핑	orange·warm	안전(범죄엔 금물)	⚠️ 범죄 사건에 따뜻한 색 금지
CE-05	색-감정 매핑	desaturated	진지/무력
GR-01	기괴함 공식	closure 엔진	practical 광원 1개 + fill 완전 제거 + 언더라이팅(아래→위) + 배경 암흑 + 오브젝트 부분만 빛에 드러냄 + 따뜻한 조명 금지	뇌가 closure로 최악을 채움
NOTE	공통 원칙	색만으론 부족	색 + 조명 + 구도 + 앵글을 함께 써야 의도 전달
CT-07	색온도 사전	텅스텐 백열등	warm tungsten 2700K · 방향 측면/위 · fill 약한 난색 확산	실내 친밀·구식 등기구
CT-08	색온도 사전	LED 패널	neutral white 5000K · 방향 자유·확산 · fill 깨끗한 균일	현대 실내·중립 베이스
CT-09	색온도 사전	HMI 데이라이트	daylight 5600K crisp · 방향 창밖→안 · fill 자연 확산	낮 외광·창 모티베이트
CT-10	색온도 사전	달빛 한색	cool blue-silver 4100K low · 방향 위 대각 · fill 없음(저광량)	밤·미스터리(LIGHT06 정합)
CT-11	색온도 사전	수은등	greenish-blue 6000K 저CRI · 방향 위→아래 · fill 없음	산업·지하·쇠락(저판별)
CT-12	색온도 사전	흐린날 그늘	cool overcast 6500-7500K · 전체 확산 · fill 무그림자 균일	침울·다큐 균일광
CG-09	색보정 어휘	lift-gamma-gain	그림자·중간·하이라이트 3분할 1차 보정 — 톤 무드 설계	보정 기준 어휘
CG-10	색보정 어휘	split-toning	하이라이트 난색·섀도 한색 분리 — 시네마 분위기	양극 색 무드
CG-11	색보정 어휘	selective/isolated color	한 색만 채도 유지·나머지 탈색 — 상징·강조	2차 보정·시선 유도
CG-12	색보정 어휘	duotone	2색조 단순화 — 포스터·만평·강렬	그래픽·풍자 표지
CG-13	색보정 어휘	cross-process	채도 과장·색 시프트(녹청/노랑) — 불안정·복고	왜곡·레트로 무드
CG-14	색보정 어휘	day-for-night grade	낮 촬영 청색 저광량化 — 야간 의사	밤 효과(저예산)
CG-15	색보정 어휘	faded-matte/lifted-black	블랙 들어올림·저대비 매트 — 회고·다큐	아련·바랜 톤
CG-16	색보정 어휘	golden Kodak warm	코닥식 따뜻한 황금톤 — 향수·온기	회고(CG-07 Portra와 세트)
CE-06	색-감정 매핑	yellow	경고/광기/불안	⚠️ 안전(난색)과 다른 경고 신호
CE-07	색-감정 매핑	purple	권력/퇴폐/사치	정치·권력 풍자
CE-08	색-감정 매핑	white	공백/임상/무균	멸균·비인간(LGT12 정합)
CE-09	색-감정 매핑	magenta-cyan	인공/네온/비현실	도시밤·디지털(LIGHT08 정합)
CE-10	색-감정 매핑	brown·sepia	과거/낡음/기록	회상·아카이브 톤
PAL-01	색팔레트 스킴	보색	complementary palette, two opposite hues, vibrant high-contrast	강한 대립·갈등 구도
PAL-02	색팔레트 스킴	유사색	analogous palette, adjacent hues, harmonious calm	조화·안정·자연
PAL-03	색팔레트 스킴	삼색	triadic palette, three evenly spaced hues, balanced vivid	활기·균형·대비
PAL-04	색팔레트 스킴	분할보색	split-complementary palette, base plus two adjacent complements, contrast softened	대비 완화·세련
PAL-05	색팔레트 스킴	사색	tetradic palette, two complementary pairs, rich complex	풍부·복합(균형 주의)
PAL-06	색팔레트 스킴	단색	monochromatic palette, single hue varied in value, cohesive soothing	절제·통일·미니멀
PAL-07	색팔레트 스킴	무채+1	achromatic with one accent color, grayscale plus a single pop hue	강조·상징(만평 강조)
PAL-08	색팔레트 스킴	난색 지배	warm-dominant palette, oranges and reds lead, energetic intimate	열기·친밀·활력
PAL-09	색팔레트 스킴	한색 지배	cool-dominant palette, blues and teals lead, calm detached	냉정·거리·고독
