ID	분류	영문 프롬프트	적용/비고
ET-01	품질 테일	photorealistic, cinematic lighting, natural skin texture, sharp detail, subtle rim light	화풍 따라 STYLE 모듈로 교체(비실사면 photorealistic 빼기) · 샷마다 반복
ET-02	identity lock 블록	Same exact person across all shots, identity locked, same face shape, same suit, same [소품], same [배경] with same Korean text "[원문]" clearly visible and stable in every shot. Stabilized camera, no morphing, no outfit change, no scene change.	정적·글자 고정(B방식)=풀 락 / 다이내믹 연기(C방식)=생략(@참조가 정체성 담당)
ET-03	Avoid 테일 (NEG00 정본)	Avoid: deformed hands, extra fingers, distortion, warped face, watermark, morphing, identity drift.	상황별 추가는 05 네거(글자=banner text distortion / 소품=shape change / 배경=background warping)
ET-04	멀티샷 추가 (NEG13)	character drift between shots, audio desync, tonal shift between cuts, lighting inconsistency, garbled speech	멀티샷일 때 Avoid 테일에 합류
ET-NOTE	압축 원칙	네거티브는 5~8개가 20개+보다 효과적 · 중요한 것부터 앞에 · 포지티브와 모순되는 네거티브 금지(출력 붕괴)	리서치+실측
ET-06	영상 품질 테일	cinematic video, smooth natural motion, consistent lighting, photorealistic detail, stable framing, 24fps film look	실사 영상 샷 끝(Kling) · 비실사면 STYLE/화풍 어휘로 교체 · NEG25(스미어)와 충돌 주의
ET-07	애니메이션 품질 테일	clean 2D animation, consistent character design, smooth on-model motion, vibrant flat colors, crisp linework	애니·카툰 영상 샷(STYLE10~16·25) · photorealistic 빼기 · NEG14(오프모델)와 세트
ET-08	다큐 리얼리즘 테일	documentary realism, available light, handheld observational feel, natural color grade, candid unposed subjects, slight grain	시사·관찰 톤 · NEG15(과채도)·NEG16(광택) 동반 · 연출 과한 샷엔 부적합
ET-09	제품/매크로 테일	macro product shot, razor-sharp focus, shallow depth of field, soft studio key light, clean seamless background, crisp surface texture	소품·제품 클로즈업 · 01a 매크로 렌즈와 세트 · 인물 샷엔 과함
ET-10	풍자 스타일라이즈드 테일	stylized satirical illustration, bold caricature, exaggerated expressions, clear readable composition, editorial cartoon tone	풍자 캐리커처(실존 인물 = SF public-figure 프레이밍 필수) · photorealistic 빼기
ET-11	멀티샷 마스터 테일	Consistent character, lighting, wardrobe, and tone across all shots; one continuous world; seamless cuts; locked color grade.	커스텀 멀티샷 마스터 줄(B·C방식) · NEG13·LC-01과 합류 · PE-18 시간일관성 정본
ET-12	세로 쇼츠 테일	vertical 9:16 framing, subject centered in upper-middle, clean lower-third left empty for captions, mobile-first composition, strong readable silhouette	모든 쇼츠/릴스 샷 · 하단 1/3 자막 여백(19 SF-04) · PE-15 종횡비 명시와 세트
