ID	분류	영문 산문	용도
SF-01	프레임 산문 (GPT Image 2)	Compose this as ONE single seamless full-bleed 4:5 vertical illustration on one continuous surface flowing edge to edge, with the main subject anchored in the upper-center, and no inner border, no outer frame, no panel division, and no margin.	카드 1장 = 단일 풀블리드 프레임 강제 (분할·테두리 방지)
SF-02	네거티브 산문 (GPT Image 2)	Avoid any comic panel layout, split panels, divider lines, stacked frames, insets, or duplicate elements; no letterbox or black bands; no border, frame, or rectangular outline; keep the main subject out of the bottom third; and render no long sentences or paragraphs of text — only a few characters of essential Korean if any, no English text, no garbled or fake script.	만화 패널·테두리·가짜 텍스트 방지 · 하단 1/3 비움
SF-NOTE	적용	GPT 프롬프트는 채팅 출력 전용(Drive 미저장 — parsePrompts 자동화 무손상) · Gemini(나노바나나) 쪽은 지침의 6중 안전망 블록 사용	출처 /news §9 — 운영 강제는 지침
SF-03	프레임 산문 (9:16 풀블리드)	Compose this as ONE single seamless full-bleed 9:16 vertical frame on one continuous surface flowing edge to edge, main subject anchored in the upper-center, no inner border, no outer frame, no panel division, no letterbox, and no margin.	쇼츠/세로 카드 1장 = 단일 풀블리드 (SF-01의 9:16판)
SF-04	프레임 산문 (16:9 영상)	Frame this as a 16:9 cinematic composition with the main subject in the upper or central third and the lower third kept clean and uncluttered as safe space for captions and lower-thirds.	가로 영상 프레임 · 하단 1/3 자막 안전구역 비움 (PE-15·ET-12 짝)
SF-05	AI 고지 오버레이 노트	Leave a small clean margin (corner or lower edge) free of critical detail so an "AI-generated" disclosure overlay can be composited in post without covering the subject.	AI 표기 오버레이(apps/k/assets) 합성 여백 확보 · 산출물에 AI 고지 동봉 운영과 세트
SF-06	미성년자 안전 실루엣 산문	If any minor appears, render them only as a non-identifiable silhouette, back-view, or out-of-focus background figure; never a recognizable child's face; keep all depiction non-sexual and fully clothed.	미성년 등장 시 안전 프레이밍 강제 (비식별·실루엣) · 안전 최우선
SF-07	공인 풍자 프레이밍 노트	Depict the public figure as a clearly stylized caricature or labeled likeness for satire — exaggerated, cartoonish, obviously non-photographic — not a photorealistic deepfake; make the satirical/editorial intent visually evident.	실존 인물 풍자 = 캐리커처/라벨 명시(딥페이크 사실주의 금지) · PE-09·NEG22와 직결
SF-08	화면 텍스트 억제 절(재사용)	Render no English text and no paragraphs; include only a few characters of essential Korean as a short quoted literal if truly needed, with no garbled, fake, or gibberish script anywhere.	모든 프레임 재사용 절 · PE-23·NEG03/NEG32 정본 클로즈 · 긴 문장·영문 렌더 회피
SF-09	재난·사고 피해자 안전 산문	Show disaster and accident aftermath through wreckage, smoke, emergency lights and responders at a distance; any casualties appear only as covered, non-identifiable forms or stay fully off-frame — never graphic injuries, blood, or recognizable victims' faces.	재난·사고 보도 씬 1순위 안전·필터 가드 — SF-06(미성년)·SF-07(공인) 계열 완성 · 유혈·시신 직접묘사 금지(GEN-02/07/09 산재 룰 통합 정본 · Kling 필터 거부·리롤 낭비 방지 · 260707)
