ID	한국어명	영문명	시대/정의	대표 비주얼 코드	Gemini 키워드	영상(Kling) 지시문	추천 조합(타 모듈 ID)	IP/리스크 주의	비고
FM-01	독일 표현주의	German Expressionism	1920s 독일 무성영화 — 내면·불안의 양식화	비스듬히 기운 세트·뾰족한 각도·왜곡 원근, 흑백 고대비 키아로스쿠로, 페인팅된 그림자, 양식화 연기	German Expressionist film, distorted angular sets, painted hard shadows, high-contrast black and white, jagged perspective	exaggerated tilted set with painted sharp shadows, harsh chiaroscuro key light, the figure moves with stylized angular gestures, monochrome	STYLE06+LIGHT14+H06(더치)+STYLE30	특정 작품(칼리가리 등) 세트 디자인 복제 회피 — 양식만	불안·광기·권력 풍자에 강력. 검증: 왜곡 세트+키아로스쿠로 정설
FM-02	소비에트 몽타주	Soviet Montage	1920s 소련 — 충돌 편집으로 의미 생성	빠른 컷 충돌, 대각 구도, 로우앵글 영웅화, 군중·기계 리듬, 흑백 다큐풍	Soviet montage style, dynamic diagonal composition, low-angle heroic framing, rapid rhythmic cuts, gritty monochrome	multi-shot rapid montage of colliding images, low-angle heroic figure, marching crowd rhythm, stark black and white	NEG13(멀티샷)+H03(로우)+M15(휩팬)+STYLE36	실존 정권 미화 오인 주의 — 패러디 명시	편집=의미. 멀티샷 분막으로 구현. 권력·집단 풍자
FM-03	이탈리아 네오리얼리즘	Italian Neorealism	1945~52 — 로케이션·비전문 배우·일상	실제 거리 로케이션, 자연광, 다큐풍 핸드헬드, 탈색 흑백/저채도, 가난한 일상	Italian neorealism, real street location, natural available light, documentary realism, plain everyday life, desaturated	on-location handheld documentary look, soft natural daylight, unposed ordinary people, quiet realism, muted tones	STYLE08+LIGHT03+M16+STYLE03	—	서민·현실 고발 톤. 자연광+로케이션이 핵심. 검증: 로케이션·비전문배우 정설
FM-04	프랑스 누벨바그	French New Wave	1958~60s 프랑스 — 즉흥·점프컷·자유	점프컷, 핸드헬드 거리 촬영, 자연광, 4번째 벽 응시, 거친 흑백/생기 컬러, 자기반영	French New Wave, jump cuts, handheld street cinematography, natural light, casual breezy framing, grainy	handheld walk-and-talk on a real street, natural light, a sudden jump cut skips forward in time, candid energy	STYLE03+M16+M09+STYLE08	—	점프컷=시그니처. 발랄·반항·자유 풍자. 검증: 점프컷·핸드헬드 정설
FM-05	이탈리아 지알로	Italian Giallo	1960~70s 이탈리아 스릴러 — 색채 과잉	컬러 젤 채색광(적·청·녹), 극단 클로즈업, 더치앵글, 오페라틱 무빙, 검은 장갑 모티프	giallo film, saturated colored gel lighting, lurid red and blue washes, extreme close-ups, operatic camera	rooms drenched in saturated red and blue gel light, tilted angle, slow operatic dolly, lurid stained-glass color	LIGHT08+H06(더치)+M11+STYLE02	고어·폭력 수위 조절 — 풍자 맥락 유지	비논리적 색광이 본체. 스릴·음모 풍자. 검증: 컬러젤 채색광 정설
FM-06	스파게티 웨스턴	Spaghetti Western	1960s 이탈리아산 서부극 — 건조·과장	황량한 광야, 극단 클로즈업↔EWS 대비, 한낮 하드 섀도, 먼지·세피아 톤, 긴 정적 대치	spaghetti western, vast dusty desert, harsh midday sun, extreme close-up eyes vs wide vista, sepia dust haze	wide desert standoff in harsh midday light, sudden extreme close-up on squinting eyes, dust drifting, tense stillness	LIGHT04+S01·S09+STYLE07+M01	—	극단 샷 크기 대비가 시그니처. 대치·결투 풍자. 검증: 클로즈업/와이드 대비 정설
FM-07	필름 누아르(사조)	Film Noir (movement)	1940~50s 미국 — 범죄·운명의 그림자	블라인드 줄무늬 그림자, 로우키 키아로스쿠로, 젖은 밤거리, 담배연기, 흑백 고대비, 팜파탈	film noir movement, venetian-blind shadow stripes, low-key chiaroscuro, wet night street, smoky high-contrast B&W	low-key noir scene, venetian-blind stripes crawling across the face, wet asphalt reflections, slow smoky atmosphere	STYLE06+LIGHT14+LIGHT21+LC-13	STYLE06(누아르 화풍)과 역할 구분: 여긴 사조·서사 맥락	화풍 STYLE06와 짝 — 사조는 분위기·서사. 부패·운명 고발. 검증: 블라인드/로우키 정설
FM-08	일본 시대극(지다이게키)	Japanese Jidaigeki	에도 시대극 — 사무라이·전통 미장센	전통 의상·목조 세트, 자연/촛불광, 정적 대치 후 순간 액션, 좌우 대칭, 비·눈 등 계절감	jidaigeki samurai film, traditional Edo wooden sets, natural and candlelight, still tension then sudden action	composed symmetrical wide of a wooden interior, candlelight, long stillness broken by a single fast action	LIGHT07+STYLE19+M01+M22	특정 영화·감독 IP 회피 — 사조 양식만	정적→폭발 리듬이 본체. 전통·권위 풍자. 검증: 지다이게키 미장센 통설
FM-09	홍콩 무협	Hong Kong Wuxia	무협·와이어액션 — 비상하는 검술	와이어 비상·공중 회전, 휘날리는 의상, 대나무숲·누각, 슬로모↔고속 전환, 채도 높은 색	wuxia martial arts film, wire-fu aerial combat, flowing robes, bamboo forest, dynamic speed ramping	flowing-robe figure leaps in wire-assisted slow motion through a bamboo grove, then snaps to fast action	M22+M11+STYLE02+ENV(자연)	특정 작품 안무 IP 회피 — 사조 양식만	스피드 램핑이 시그니처. 영웅·대결 풍자. 검증: 와이어푸·무협 통설
FM-10	로맨틱 네온 무드	Romantic Neon Mood (technique)	기법 기술 — 혼합 색온도 도시 멜로	혼합 색온도(난색 텅스텐+한색 네온), 슬로모 군중 속 정지, 좁은 화각 클로즈업, 거울·창 반사, 채도 높은 그린/레드	moody romantic neon look, mixed warm-tungsten and cool-neon, slow motion, tight framing, saturated greens and reds	subject still amid slow-motion crowd, warm-and-cool neon mix, reflections in glass, intimate longing mood	KV-01+LIGHT17+LIGHT08+M22	특정 감독(왕가위) 명명 금지 — 기법으로만 기술	KV-01 변종과 직결. 그리움·고독 풍자. 기법 기술로 IP 우회(과제 지시)
FM-11	K-멜로 TV 룩	K-melodrama TV Look	한국 드라마 영상 톤	맑은 하이키·소프트 디퓨전, 따뜻한 피부톤, 얕은 심도 보케, 정갈한 인테리어, 슬로모 감정 컷, 깔끔 컬러	Korean TV melodrama look, clean high-key soft diffusion, warm skin tones, shallow-depth bokeh, polished interiors	soft diffused high-key light, warm flattering skin tone, shallow bokeh background, gentle slow push-in on emotion	LIGHT15+LIGHT05+L12(85mm)+M04	—	국내 독자 친숙. 과장 멜로 반어 풍자. 광고적 청결 룩
FM-12	한국 사회파 리얼리즘	Korean Social-realism (generic)	기법 기술 — 한국 사회 고발극 톤	저채도 핸드헬드, 회녹/회청 도시 팔레트, 형광등 관공서·반지하·시장, 자연광 다큐, 묵직한 정적	gritty social-realist look, desaturated gray-green urban palette, fluorescent institutional light, handheld realism	handheld documentary realism in a fluorescent-lit office or basement room, muted gray-green tone, heavy quiet	STYLE08+LIGHT18+M16+STYLE03	특정 감독·작품 명명 금지 — 양식으로만 기술	계급·구조 고발 정석. 형광+저채도가 키. 노뮤트 B화풍 톤과 친족
FM-13	도그마 95	Dogme 95	1995 선언 — 핸드헬드·자연광·무필터 순수주의	손에 든 카메라만, 추가 조명·필터 금지, 로케이션·동시녹음, 거친 즉흥감, 평범한 디지털 룩	Dogme 95 style, strictly handheld, available light only, no filters, on-location, raw immediate digital realism	strictly handheld, no extra lighting, raw on-location realism, immediate unpolished digital look, restless framing	STYLE08+M16+LIGHT03+NEG06	—	'장식 금지' 순수주의가 본체. 위선 벗기기 풍자. 검증: 정결서약 규칙
FM-14	체코 뉴웨이브	Czech New Wave	1960s 체코 — 부조리·블랙코미디	다큐·픽션 혼합, 비전문 배우, 부조리 유머, 거친 흑백, 즉흥 핸드헬드, 일상 풍자	Czech New Wave, absurdist dark comedy, documentary-fiction blend, grainy black and white, deadpan everyday satire	deadpan handheld observation of an absurd everyday situation, grainy monochrome, dry comic timing	STYLE08+STYLE03+M16+FM-04	—	부조리·블랙코미디가 본체. 관료·체제 풍자 정석. 검증: 체코뉴웨이브 통설
FM-15	브라질 시네마노부	Brazilian Cinema Novo	1960s 브라질 — '손엔 카메라, 머리엔 아이디어'	저예산 거친 16mm, 강렬한 한낮 광야·빈민가, 핸드헬드, 사회 부정의 직시, 거친 흑백/탈색	Cinema Novo, raw low-budget 16mm, harsh sunlit backlands and favela, handheld social urgency, gritty	raw handheld 16mm look in harsh tropical sun, sunbaked landscape or favela, urgent social-realist energy	STYLE03+LIGHT04+M16+FM-03	—	빈곤·불평등 고발 사조. 거친 16mm+강광이 키. 검증: 시네마노부 통설
FM-16	멈블코어	Mumblecore	2000s 미국 인디 — 소소·자연주의 대화극	초저예산 디지털, 자연광, 즉흥 일상 대화, 핸드헬드 클로즈업, 꾸밈없는 평범, 약한 채도	mumblecore, ultra-low-budget naturalistic digital, available light, improvised everyday conversation, plain	intimate handheld two-shot of casual improvised conversation, flat available light, unglamorous plain realism	STYLE08+R03(투샷)+M16+LIGHT05	—	'아무 일도 안 일어나는' 자연주의. 일상 풍자·반어. 검증: 멈블코어 통설
FM-17	엘리베이티드 장르 절제 리얼리즘	Elevated-genre Muted Realism	2010s~ — 무드 위주 절제된 아트호러/드라마	극도 절제 무드, 저채도 자연주의 그레이딩, 느린 빌드, 대칭·정적 와이드, 불안한 정적, 미니멀 사운드 감각	elevated genre look, muted naturalistic grade, slow-burn dread, symmetrical static wide, restrained unease	slow-burn symmetrical wide, muted desaturated naturalism, quiet creeping dread, minimal restrained movement	STYLE02+LIGHT19+M04(slow)+M01	특정 스튜디오(A24류) 명명 회피 — 양식 기술	'고급 불안' 톤. 잠복한 위기 풍자. 절제+슬로번이 키
FM-18	틴트폴 틸오렌지	Blockbuster Teal-Orange	2000s~ 할리우드 텐트폴 — 보색 그레이딩	그림자=틸/청록, 하이라이트·피부=오렌지, 고대비 광택, 렌즈플레어, 대규모 스케일, 매끈 디지털	teal and orange blockbuster grade, teal shadows, warm orange skin highlights, glossy high-contrast, lens flare	glossy high-contrast scene graded teal-and-orange, warm skin against cool background, epic blockbuster polish	STYLE01+LIGHT17+STYLE44+M19	—	할리우드 관용 그레이딩. 과장 스펙터클 풍자. 검증: 보색 피부분리 원리
FM-19	70s 뉴할리우드 그레인	1970s New Hollywood Grain	1970s 미국 — 사실주의·필름 그레인	두꺼운 필름 그레인, 따뜻한 색감 탈색, 줌렌즈 관용구, 자연주의 로케이션, 가벼운 헐레이션, 거친 사실감	1970s New Hollywood film look, heavy grain, warm desaturated color, zoom-lens framing, naturalistic location	grainy 1970s film look, slow zoom on a location-shot scene, warm faded color, gritty character realism	STYLE07+STYLE02+M12(줌)+LIGHT01	—	STYLE07(70s 룩)을 사조 맥락으로 확장. 환멸·반영웅 풍자. 검증: 그레인+줌 통설
FM-20	무성영화 시대	Silent Era	1900s~20s 무성영화 — 자막카드·과장 연기	흑백(또는 세피아 틴트), 비네팅·게이트 플리커, 빠른 프레임레이트 느낌, 아이리스 인/아웃, 자막카드, 과장 무언 연기	silent film era, black and white with sepia tint, vignette, gate flicker, iris transitions, exaggerated mime acting	jittery silent-film look, sped-up feel, gate flicker and vignette, exaggerated mime gestures, an iris-out closes the shot	STYLE05+STYLE27+M01+NEG03	자막카드 한글은 후반 합성(NEG03)	아이리스·자막카드·플리커가 시그니처. 과장 연기로 코믹 풍자. 검증: 무성영화 관용구
